Word,Frequency
flagship,3
course,12
government,2
virtual,1
monopoly,2
continue,8
mediocre,7
leadership,3
portfolio,1
relentlessly,1
pleasure,3
generally,7
routing,1
frequent,5
flier,1
come,14
accept,15
shocking,10
exorbitant,2
primary,3
role,1
look,13
fallen,1
bed,4
dress,1
men,1
razor,1
question,9
ability,3
react,1
saturday,5
st,9
august,8
berlin,3
brandenburg,1
info,5
screen,20
rushed,3
quickly,5
carousel,4
meaning,9
upset,3
disregard,1
knowledge,2
resolved,2
false,5
longer,10
spoke,11
datedestination,1
suddenly,3
mother,7
funeral,4
unless,5
proved,3
sending,1
death,2
certificate,2
policy,6
questioning,1
wanting,3
double,3
confirm,2
troubling,1
aunt,1
uncle,1
grieving,1
sudden,1
loss,4
cousin,1
documentation,4
holder,3
passed,7
sense,3
dead,1
challenge,3
expressing,2
feeling,2
mistrust,1
allowed,14
date,8
challenged,1
manger,1
gone,11
direct,5
putting,2
formal,5
ago,22
less,16
remaining,2
scam,2
asking,11
manager,8
shock,2
isnt,6
looking,8
status,9
log,2
appalled,2
hurt,1
frustrated,5
whole,17
spreading,1
known,6
review,12
possible,13
till,3
genuinely,3
mutual,1
agreementresolve,1
leaf,4
profit,1
arbitrary,1
cancellation,18
reserved,2
daughter,3
pakistan,3
pakistani,1
admit,2
mine,4
else,17
total,15
half,35
owe,3
operation,3
resting,1
laurel,1
standing,10
little,17
completing,2
task,2
document,10
fee,12
ryanair,9
somewhere,3
easyjet,6
presumably,1
theyre,3
aiming,1
ground,21
expensive,21
met,7
size,5
requirement,3
scratched,1
damaged,2
assurance,1
lodged,3
fell,4
deaf,2
ear,2
acknowledgment,1
resolution,5
funny,2
overhead,9
locker,2
empty,9
glaring,1
traveled,6
mixed,1
straightforward,2
processing,5
unnecessary,4
enjoyed,2
layover,14
dfw,3
aspect,3
timeline,1
okay,2
hong,3
kong,3
midnight,2
bee,1
lightning,1
scramble,1
transportation,4
rerouting,2
hk,1
middle,20
east,2
stopover,1
needless,5
trick,3
deleted,2
therefore,4
express,1
anger,1
apology,11
missed,42
connection,31
waited,26
destination,16
reading,3
regular,3
receiving,2
personally,4
lifted,1
hand,24
counting,2
processed,3
cleverly,1
designed,6
tree,1
deter,1
live,4
guide,2
something,7
spite,1
entering,2
anyway,4
attending,1
caring,1
least,28
alone,4
judging,1
similar,6
treat,8
internationally,1
life,10
ahead,13
evergrowing,1
circumstance,2
receipt,7
barcelona,5
coordinated,1
outbound,9
trip,37
ended,15
boardingdownstairs,1
exit,4
entry,3
board,37
notification,5
helped,10
beginning,7
final,6
saw,10
solution,5
future,16
thanks,5
figured,1
inconvenience,4
effect,1
subsequent,3
postponed,1
gathering,1
assigned,2
ready,5
outside,5
cancel,14
intercom,1
absence,1
note,7
therell,1
rage,1
mounted,1
amongst,3
brit,1
